isbn,match
0674116739,True
9780674116733,True
9789622174580,False
9622174582,False
3886093271,False
8120806166,True
388609135X,True
9780521255233,True
0521255236,True
9789676530752,True
9676530751,True
9780714124643,True
9748496317,False
9789748496313,False
3763020039,False
9780615488820,True
0500277125,False
9780500277126,False
1870076141,False
9781870076142,False
9780714128252,False
9780714150796,False
3886091368,False
9780192842077,True
0192842072,True
0684180405,True
0878463283,False
9781846032738,False
2711841073,True
9782711841073,True
9780300155662,True
1850437467,False
9781850437468,False
2080103598,False
9782080103598,False
9780892362202,True
0892362200,True
9782711856268,False
029597253X,True
0965427048,True
0295970871,True
0870990845,True
0691040206,True
9782918207016,False
0824820029,True
9760824820024,False
0906610036,False
7501001537,False
9787501001538,False
0691037582,True
9780691037585,True
3952091715,False
0195630947,True
0870111566,False
962331003X,False
0874742676,True
390707078X,True
9004039384,False
9004039392,False
9004039384,False
9004039406,False
0415320909,True
9780415320900,True
9622012795,True
3805311877,True
0877277052,True
9813002700,True
9780810928534,True
0810928531,True
9780521565059,True
0521565057,True
2708405861,True
9782708405868,True
0812278569,True
0870993267,True
0877277001,True
